data,trip_creation_time,route_type,trip_uuid,source_name,destination_name,start_scan_to_end_scan,od_time_diff_hour,actual_distance_to_destination,actual_time,osrm_time,osrm_distance,segment_actual_time_sum,segment_osrm_distance_sum,segment_osrm_time_sum,hour,day,weekday,week,month,source_state,destination_state,source_city,source_place,destination_city,destination_place
1,2018-09-12 00:22:16.687619,0,trip-153671173668736946,delhi_nangli_ip (delhi),janakpuri (delhi),-0.9907372509329513,-0.9925907740118644,-0.8264630632373637,-0.8438650570192835,-0.7941330625117176,-0.8147023681400982,-0.8453321966653102,-0.7943522323924191,-0.7651625635892227,0,12,2,37,9,Delhi,Delhi,New Delhi,Nangli,Janakpuri,Janakpuri
1,2018-09-12 00:22:29.686740,0,trip-153671174968648046,guwahati_north (assam),guwahati_hub (assam),-0.7129005447507959,-0.7124126008069472,-0.8655270966039611,-0.4265255502759591,-0.8356091512827297,-0.8065996964877801,-0.4252004933831077,-0.8073965383625997,-0.8405376970249395,0,12,2,37,9,Assam,Assam,Guwahati,North,Guwahati,Hub
1,2018-09-12 00:25:19.499696,1,trip-153671191949943656,narsinghpur_kndlidpp_d (madhya pradesh),bareli_sourvdpp_d (madhya pradesh),-0.11809520193829422,-0.11865319413596893,0.3837766196240159,0.4777100476679105,0.3671974230766244,0.36591282984845425,0.4850848637283309,0.4491968508701017,0.5790273160143941,0,12,2,37,9,Madhya Pradesh,Madhya Pradesh,Narsinghpur,Kndlidpp,Bareli,Sourvdpp
1,2018-09-12 00:27:06.988059,0,trip-153671202698783427,surat_central_d_9 (gujarat),surat_varachha_dc (gujarat),-0.1689667115209424,-0.16931831241294068,-0.7229370515473013,-0.04712599869111873,-0.6835301591223516,-0.6831871977866603,-0.0368969494404661,-0.7111283368716403,-0.7149124746320782,0,12,2,37,9,Gujarat,Gujarat,Surat,Central,Surat,Varachha
1,2018-09-12 00:30:46.435980,0,trip-153671224643574839,shrirampur_davkharrd_d (maharashtra),nashik_tgrniard_i (maharashtra),1.2750015220173019,1.2881748694849753,2.621197145068811,2.241917962537418,2.3995257728562227,2.4963002653574913,2.22290236366835,3.1825853937262063,3.405594819853775,0,12,2,37,9,Maharashtra,Maharashtra,Shrirampur,Davkharrd,Nashik,Tgrniard
1,2018-09-12 00:30:52.911478,0,trip-153671225291120891,hoogly_bandel_d (west bengal),hooghly_dc (west bengal),0.046258905944107566,0.05162606563825989,-0.31226378330194443,0.28168694601574296,-0.29641999725957097,-0.35000851039379943,0.2813846439551418,-0.2809541680194742,-0.2500991517784911,0,12,2,37,9,West Bengal,West Bengal,Hoogly,Bandel,Hooghly,Dc
1,2018-09-12 00:32:42.294456,0,trip-153671236229420701,madakasira_rtcstand_d (andhra pradesh),puttaprthi_gokulam_d (andhra pradesh),-0.6815950003922432,-0.6770533196774589,0.010997404284597707,-0.25579575206278093,0.04921407583219744,-0.09088491463820635,-0.27242532855321594,-0.11585636983382146,-0.09934888490705744,0,12,2,37,9,Andhra Pradesh,Andhra Pradesh,Madakasira,Rtcstand,Puttaprthi,Gokulam
1,2018-09-12 00:32:55.970840,0,trip-153671237597058150,sonari_central_dpp_1 (assam),sivasagar_babupaty_d (assam),-0.26679653764141964,-0.2694503185824999,-0.45543279940500436,0.4018301373509424,-0.6282287074276687,-0.5004890907908196,0.40869728131338495,-0.4346751123483725,-0.46366202984635546,0,12,2,37,9,Assam,Assam,Sonari,Central,Sivasagar,Babupaty
1,2018-09-12 00:33:22.667576,0,trip-153671240266732246,bengaluru_kgairprt_hb (karnataka),bengaluru_bomsndra_hb (karnataka),-0.21983822110359055,-0.22120546250489095,-0.4173524688690897,0.10463382194281742,-0.29641999725957097,-0.43035414248706283,0.09678131978568921,-0.23038849811048773,-0.03653627371062675,0,12,2,37,9,Karnataka,Karnataka,Bengaluru,Kgairprt,Bengaluru,Bomsndra
1,2018-09-12 00:36:05.266352,0,trip-153671256526597871,bengaluru_kgairprt_hb (karnataka),bangalore_nelmngla_h (karnataka),-0.3020152750447914,-0.30187300288601243,-0.6051497906747819,-0.09771260556909744,-0.3793721748015954,-0.5651999273559845,-0.10055326811958769,-0.4094734879016173,-0.21241158506063268,0,12,2,37,9,Karnataka,Karnataka,Bengaluru,Kgairprt,Bengaluru,Nelmngla
1,2018-09-12 00:37:08.939733,0,trip-153671262893947351,hyderabad_north_d_2 (telangana),hyderabad_alwal_i (telangana),-0.2002722558794951,-0.1993101980075732,-0.6654704686464812,0.11095714780256477,-0.7250062478933639,-0.6840927051188952,0.12224384725733785,-0.7119836839076862,-0.7526000413499366,0,12,2,37,9,Telangana,Telangana,Hyderabad,North,Hyderabad,Alwal
