data,trip_creation_time,route_type,trip_uuid,source_name,destination_name,start_scan_to_end_scan,od_time_diff_hour,actual_distance_to_destination,actual_time,osrm_time,osrm_distance,segment_actual_time_sum,segment_osrm_distance_sum,segment_osrm_time_sum,hour,day,weekday,week,month,source_state,destination_state,source_city,source_place,destination_city,destination_place
1,2018-09-12 00:14:49.629525,0,trip-153671128962918389,jaipur_central_i_7 (rajasthan),jaipur_central_i_7 (rajasthan),0.09534534534534535,0.0957393681192656,0.042298524766367765,0.12406947890818859,0.05675675675675676,0.047127761742163155,0.12359550561797752,0.04604944820870484,0.05223880597014925,0,12,2,37,9,Rajasthan,Rajasthan,Jaipur,Central,Jaipur,Central
1,2018-09-12 00:17:10.438683,1,trip-153671143043841452,allahabad_central_h_1 (uttar pradesh),satna_central_i_2 (madhya pradesh),0.36861861861861867,0.3681998790851225,0.33132461971890625,0.34739454094292804,0.34054054054054056,0.3863683778266622,0.34706616729088635,0.36575333086228956,0.30845771144278605,0,12,2,37,9,Uttar Pradesh,Madhya Pradesh,Allahabad,Central,Satna,Central
1,2018-09-12 00:22:16.687619,0,trip-153671173668736946,delhi_nangli_ip (delhi),janakpuri (delhi),0.03303303303303303,0.032671507871302366,0.010301611649189055,0.043424317617866005,0.04054054054054054,0.021333162560639708,0.04244694132334582,0.02826625753618064,0.0472636815920398,0,12,2,37,9,Delhi,Delhi,New Delhi,Nangli,Janakpuri,Janakpuri
1,2018-09-12 00:22:29.686740,0,trip-153671174968648046,guwahati_north (assam),guwahati_hub (assam),0.08633633633633633,0.0864152443837849,0.0025767382666857346,0.1253101736972705,0.032432432432432434,0.022930195341074436,0.12484394506866417,0.025692265140363543,0.03233830845771144,0,12,2,37,9,Assam,Assam,Guwahati,North,Guwahati,Hub
1,2018-09-12 00:25:19.499696,1,trip-153671191949943656,narsinghpur_kndlidpp_d (madhya pradesh),bareli_sourvdpp_d (madhya pradesh),0.20045045045045046,0.20031008757913268,0.2496252939952919,0.3027295285359802,0.26756756756756755,0.25403186407197803,0.3033707865168539,0.2736519370395799,0.31343283582089554,0,12,2,37,9,Madhya Pradesh,Madhya Pradesh,Narsinghpur,Kndlidpp,Bareli,Sourvdpp
1,2018-09-12 00:27:06.988059,0,trip-153671202698783427,surat_central_d_9 (gujarat),surat_varachha_dc (gujarat),0.1906906906906907,0.19059151194597718,0.030773776532836552,0.19975186104218362,0.062162162162162166,0.047254740922859154,0.2009987515605493,0.04468857043733937,0.05721393034825871,0,12,2,37,9,Gujarat,Gujarat,Surat,Central,Surat,Varachha
1,2018-09-12 00:30:46.435980,0,trip-153671224643574839,shrirampur_davkharrd_d (maharashtra),nashik_tgrniard_i (maharashtra),0.46771771771771775,0.47016764252261367,0.6920729567922926,0.6488833746898263,0.664864864864865,0.6739302279111242,0.6441947565543071,0.813023011300551,0.8731343283582089,0,12,2,37,9,Maharashtra,Maharashtra,Shrirampur,Davkharrd,Nashik,Tgrniard
1,2018-09-12 00:30:52.911478,0,trip-153671225291120891,hoogly_bandel_d (west bengal),hooghly_dc (west bengal),0.23198198198198197,0.23297303047066736,0.11198400306020871,0.2642679900744417,0.13783783783783785,0.11292410386148748,0.2634207240948814,0.12957350352872962,0.1492537313432836,0,12,2,37,9,West Bengal,West Bengal,Hoogly,Bandel,Hooghly,Dc
1,2018-09-12 00:32:42.294456,0,trip-153671236229420701,madakasira_rtcstand_d (andhra pradesh),puttaprthi_gokulam_d (andhra pradesh),0.09234234234234234,0.09319785655716126,0.17590857838885196,0.1588089330024814,0.20540540540540542,0.16399724298929677,0.15480649188514356,0.16215173943238556,0.17910447761194032,0,12,2,37,9,Andhra Pradesh,Andhra Pradesh,Madakasira,Rtcstand,Puttaprthi,Gokulam
1,2018-09-12 00:32:55.970840,0,trip-153671237597058150,sonari_central_dpp_1 (assam),sivasagar_babupaty_d (assam),0.17192192192192193,0.17138420505805924,0.0836724738508518,0.2878411910669975,0.07297297297297298,0.0832644520793336,0.28838951310861427,0.09924022687262214,0.10696517412935323,0,12,2,37,9,Assam,Assam,Sonari,Central,Sivasagar,Babupaty
